TT,CT,PA,RA,ECP1,ECP2,ECP3,ECP4,ECP5,FR,DR,GP,SV,LTV,LHV,fine sand-1,silty clay-1,silty clay-2,silty clay-3,AS
72473,6,18.2,-0.4,2.414,2.34,3.645,2.895,3.909,2348.145,2217.375,6.082,15,47,-27,1.99,5.32,6.59,0,28
73378,6,18,-0.4,2.436,2.377,3.673,2.921,3.931,2233.706,2671.459,5.038,19,47,-27,1.99,5.32,6.59,0,27
72672,6,17.8,-0.2,2.419,2.346,3.694,2.914,3.919,2148.636,2497.269,5.534,16,48,-25,1.99,5.32,6.59,0,27
71046,6,17.8,0.2,2.394,2.31,3.613,2.886,3.893,2208.894,1398.456,5.793,20,48,-24,1.99,5.32,6.59,0,28
71145,6,18,0.5,2.38,2.314,3.604,2.894,3.895,2246.112,2459.165,5.648,30,46,-20,1.99,5.32,6.59,0,27
71144,6,18.3,0.5,2.383,2.334,3.599,2.875,3.903,2308.268,3500,6.149,23,47,-22,1.99,5.32,6.59,0,23
70706,6,18.7,0.4,2.395,2.362,3.664,2.881,3.926,2207.628,3094.907,6.294,32,46,-22,1.99,5.32,6.59,0,24
69257,6,18.5,0.4,2.365,2.304,3.465,2.858,3.866,2209.021,2074.834,6.257,39,46,-20,1.99,5.32,6.59,0,25
69598,6,18.5,0.2,2.408,2.366,3.388,2.876,3.906,2171.296,2882.487,6.387,30,48,-22,1.99,5.32,6.59,0,26
69240,6,18.7,-0.2,2.397,2.355,3.277,2.873,3.887,2223.832,1248.192,5.293,27,48,-21,1.99,5.32,6.59,0,24
71839,6,18.9,-0.4,2.463,2.448,3.494,2.918,3.931,2245.352,2746.654,5.733,37,48,-19,1.99,5.32,6.59,0,22
71170,6,19,-0.4,2.429,2.401,3.426,2.899,3.919,2241.554,2704.12,6.013,36,48,-18,1.99,5.32,6.59,0,25
69987,7,19,-0.7,2.335,2.289,3.512,2.828,3.828,2293.837,3500,5.897,41,48,-20,1.99,5.32,6.59,0,28
71910,6,19,-0.9,2.395,2.371,3.525,2.89,3.844,2155.725,2900.083,5.948,41,48,-18,3.64,3.81,6.45,0,27
71635,6,19.4,-0.7,2.396,2.368,3.574,2.896,3.858,2222.313,2448.911,5.082,41,49,-20,3.64,3.81,6.45,0,25
73112,3,19.6,-0.5,2.39,2.373,3.235,2.88,3.801,2624.24,2780.201,4.121,43,49,-20,3.64,3.81,6.45,0,3
75041,5,19.6,-0.7,2.381,2.361,3.222,2.87,3.786,2529.297,3500,5.645,40,50,-18,3.64,3.81,6.45,0,24
73634,6,19.6,-0.5,2.401,2.378,3.346,2.875,3.814,2480.306,3500,5.787,48,50,-17,3.64,3.81,6.45,0,24
72065,5,19.7,-0.5,2.371,2.339,3.354,2.858,3.771,2436.885,1465.802,5.362,44,52,-17,3.64,3.81,6.45,0,25
73408,5,20.1,-0.4,2.454,2.445,3.393,2.897,3.831,2481.066,2417.263,6.305,55,52,-14,3.64,3.81,6.45,0,21
73689,5,20.1,-0.5,2.419,2.384,3.343,2.878,3.805,2491.446,2412.2,5.588,45,54,-16,3.64,3.81,6.45,0,23
70397,4,20.1,-0.4,2.335,2.274,3.277,2.825,3.735,2582.719,3500,4.836,49,53,-14,3.64,3.81,6.45,0,6
71854,3,20.1,-0.4,2.383,2.353,3.369,2.856,3.783,2517.524,2447.139,5.083,51,53,-9,3.64,3.81,6.45,0,7
54866,2,19.4,-0.4,2.359,2.339,3.282,2.817,3.746,2477.648,2489.294,4.071,55,52,-9,3.64,3.81,6.45,0,4
78384,4,19.6,-0.4,2.402,2.4,3.279,2.844,3.766,2800.456,3073.387,3.956,54,54,-9,3.64,3.81,6.45,0,13
